Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
23,5410300,大巴黎老年休闲观光团,"2020-09-15 12:05:34",0.631,142,"dandingclam,jielu0728,lakiliu,meliao,vicioussong"
24,5141904,Dragonsong,"2020-09-15 21:42:54",0.631,146,"kozistr,leodav,mko239,tonychenxyz"
25,5220256,"[Deleted] b941f8e9-b03f-47c7-b6ff-f2ceb023570f","2020-09-15 01:54:52",0.630,113,del=0cf45d0db9420bae
26,5122079,"All Data Are Ext","2020-09-15 15:10:46",0.630,59,"alexanderliao,boliu0,garybios,haqishen,titericz"
27,5421276,"E o Pintinho Piu","2020-09-15 13:38:48",0.630,32,egrinstein
28,5233780,"Team Recurse","2020-09-15 23:41:09",0.630,37,"elsitak,j7hoenix,neurocaience,unnati97"
29,5411180,selffaware,"2020-08-20 14:23:32",0.629,3,selffaware
30,5117564,adsr,"2020-09-15 21:38:02",0.627,96,mariotsaberlin
31,5294028,dmitrsl,"2020-09-15 11:03:49",0.626,55,dmitrsl
32,5313085,"Yu Kang","2020-09-15 15:35:44",0.626,43,karlyukang
33,5420429,adityasinha,"2020-09-15 13:59:18",0.625,28,adityakumarsinha
34,5187475,foo_foo,"2020-09-15 21:04:41",0.624,78,kzkt0713
35,5366443,Camaro,"2020-09-15 02:25:55",0.624,46,bamps53
36,5114151,"Oriental Honey-buzzard 🐦","2020-09-15 14:45:54",0.623,76,maxwell110
37,5265617,sdfasf,"2020-09-15 13:24:59",0.623,81,josefslavicek
38,5328703,i-aki.y,"2020-09-15 04:26:42",0.623,5,ishicamo
39,5353316,Colibri,"2020-09-15 21:53:21",0.622,136,"bolkonsky,duykhanh99,iafoss,kirillshipitsyn,sergeevii123"
40,5141259,ShiroK,"2020-09-15 22:09:45",0.622,141,"kpriyanshu256,ludovick,phoenix9032,rohanrao,rohitsingh9990"
41,5442061,torisan,"2020-08-30 07:03:03",0.622,3,mugentk
42,5128370,"R M","2020-09-01 05:58:52",0.622,2,rischan
43,5307864,https://youtu.be/C8VeYWRBBZY,"2020-09-15 13:26:29",0.621,96,returnofsputnik
44,5115235,deoxy,"2020-09-14 10:18:17",0.621,38,linshokaku
45,5174127,"Frank Puk","2020-08-25 22:04:39",0.621,16,pukkinming
46,5359273,"HK Patrick Leung","2020-09-15 10:55:49",0.620,34,fiyeroleung
47,5404989,Arav,"2020-09-15 11:10:24",0.620,21,aravrs
48,5171880,wrb0312,"2020-09-15 21:14:37",0.618,66,wrb0312
49,5471403,Xavier,"2020-09-04 03:32:27",0.618,2,kagglerwcm
50,5122483,oct_path,"2020-09-15 22:40:21",0.618,35,octpath0302
51,5269863,daisukelab&shinmura0,"2020-09-15 10:07:08",0.618,102,"daisukelab,shinmurashinmura"
52,5121958,yuvaramsingh,"2020-09-14 06:02:40",0.617,78,yuvaramsingh
53,5115084,NARI,"2020-09-15 06:18:40",0.616,41,narimatsu
54,5170103,yukiya,"2020-09-15 05:28:47",0.616,41,nyleve
55,5306394,kzykmyzw,"2020-09-15 10:29:00",0.615,30,kazuyukimiyazawa
56,5405314,Captain0602,"2020-09-15 02:34:07",0.615,41,captain0602
57,5296181,IvanYakovlev,"2020-09-06 06:56:26",0.615,37,ivanid
58,5217716,"Matsushima Jr.","2020-09-10 22:20:17",0.614,31,"alexander0301,chengtianyue,ryosukeshiroshita,shogoaraki,tangshuyun"
59,5405850,blackpink,"2020-09-11 02:40:52",0.614,15,cooolz
60,5114928,"Learning Magic","2020-09-15 18:32:37",0.613,82,"cateek,drhabib,roguekk007"
61,5376345,Gzl0506,"2020-09-15 04:27:49",0.613,44,gzl0506
62,5385560,gaia,"2020-09-15 15:25:14",0.613,20,"berndfreisleben,mmrunner,nikko0,zxqaim"
63,5313909,bird_music,"2020-09-15 21:11:12",0.613,55,"itokashi,johannyjm,taromasuda,ysk1206st"
64,5392068,"Utkarsh Tripathi","2020-09-06 06:51:43",0.613,5,utkarshtripathi
65,5138704,namakemono,"2020-09-09 08:49:45",0.613,3,namakemono
66,5120040,"林湧森 (Dyson Lin)","2020-09-13 04:31:10",0.613,32,dysonlin
67,5391832,bluetrain,"2020-09-15 21:12:03",0.613,41,stecasasso
68,5147193,MN,"2020-08-05 05:17:59",0.613,22,gongbi
69,5361034,tattaka,"2020-09-15 08:08:35",0.612,49,tattaka
70,5188977,Zunzuncito,"2020-09-15 22:40:53",0.612,26,"alexine,dipta007,lewington,xiaowangiiiii"
71,5405309,"RAHUL SINGH INDA","2020-09-15 07:34:53",0.611,54,rsinda
72,5130792,...,"2020-09-13 01:04:30",0.610,18,takohtech
73,5253061,"Ben Woodburn","2020-07-27 06:49:14",0.610,17,benwoodburn
74,5371499,Fivestomars,"2020-09-15 02:44:15",0.610,20,fivestomars
75,5278665,"Artem Kuznetsov","2020-09-15 23:02:13",0.610,33,soundman3
76,5256632,KorAnton,"2020-07-22 15:45:22",0.609,4,koranton
77,5293071,582,"2020-09-15 19:07:02",0.609,90,"artkorenev,olegsud,paniquex"
78,5369148,"Mark Peng","2020-09-15 16:39:48",0.609,28,markpeng
79,5115024,fnakamura,"2020-09-12 23:59:51",0.609,58,fjklmn
80,5379667,[Deleted],"2020-09-14 01:00:30",0.609,25,del=d0bd0c8477c61b4d
81,5306279,"Marie Sapelnikova","2020-07-24 08:14:56",0.608,1,mariesapelnikova
82,5378428,Kaz,"2020-09-15 18:46:01",0.608,52,kazanova
83,5375350,lisr,"2020-09-15 22:38:14",0.608,30,lisr56
84,5113637,Y.Nakama,"2020-09-15 06:25:43",0.607,44,yasufuminakama
85,5114064,"Artem Kravchuk","2020-09-01 19:03:47",0.607,9,"akravchuk97,stepankutsenogiy"
86,5113956,"Antonio Marin","2020-09-15 06:40:17",0.606,34,amezet
87,5115536,クエックエクエチョコボール♪,"2020-08-26 02:10:28",0.606,9,owruby
88,5241811,takahashihideaki,"2020-09-03 05:00:50",0.606,27,syumei
89,5300703,DL_CBI,"2020-09-15 16:54:59",0.606,13,"balraj98,monishaashwath"
90,5408419,itsy_68,"2020-09-15 04:16:29",0.605,7,itsy68
91,5153814,Colin,"2020-09-15 15:50:41",0.605,34,colinnordin
92,5130043,"Raghawendra Singh","2020-09-15 17:05:07",0.605,26,raghaw
93,5148500,"Alberto Benayas","2020-09-15 12:06:56",0.604,31,benayas
94,5367480,"Kuo-Hsin Tu","2020-09-15 23:36:10",0.604,7,kuohsintu
95,5256304,"Sridhar Korupolu","2020-09-15 15:36:02",0.604,48,sridhark8
96,5361950,"Shams Sultan","2020-09-09 06:47:18",0.604,3,shams1
97,5184977,to-ri,"2020-09-15 16:26:18",0.604,8,iwao12
98,5136528,MDFam,"2020-09-15 22:30:41",0.603,24,bgesas
99,5217990,"Ray Lei","2020-08-08 02:20:42",0.603,22,raylei
100,5362741,长天一月,"2020-09-15 15:39:36",0.603,32,shadowburning
101,5120359,"В питере - пить","2020-09-15 22:34:34",0.603,104,"alanchn31,del=33fefd27c70a6ce7,doanquanvietnamca,truonghoang"
102,5306157,Kirderf,"2020-09-15 22:07:52",0.603,63,kirderf
103,5342959,-{}@{}@{}-,"2020-09-15 12:06:14",0.602,35,"kumatheworld,zchenry"
104,5119667,kuto,"2020-09-15 14:56:05",0.602,15,kuto0633
105,5143987,SarthakYadav,"2020-07-17 06:58:18",0.601,7,yadavsarthak
106,5376322,Vijay,"2020-09-15 19:59:17",0.601,38,watzisname
107,5141011,hawkey,"2020-07-22 01:06:33",0.600,10,hawkey
108,5356291,Nobu,"2020-09-15 15:44:53",0.600,23,enukuro
109,5304441,"Matthias B","2020-09-13 08:22:22",0.600,12,agrica
110,5243621,"Akim Tsvigun","2020-07-24 17:32:01",0.600,11,maschasap
111,5349340,Proletheus,"2020-09-14 10:59:56",0.600,47,"proletheus,tiandaye,underwearfitting"
112,5147092,Daizu,"2020-07-30 21:38:44",0.600,48,daizutabi
113,5487089,"System GaGa","2020-09-10 22:10:54",0.599,6,argslo
114,5293750,We_don't_like_nocall.,"2020-09-15 09:39:30",0.599,61,"fkubota,nomorevotch"
115,5118416,"Rob Mulla","2020-09-06 15:32:42",0.599,18,robikscube
116,5401170,"Taiwan Barbet","2020-08-19 06:27:23",0.599,4,shenghungjuan
117,5368834,"majestic sword","2020-09-15 20:04:34",0.599,22,yoheiii
118,5405051,"Stanislav Blinov","2020-08-26 07:22:27",0.599,5,stanislavblinov
119,5427636,AA,"2020-09-15 11:37:56",0.599,27,"akankshajo,dtprksh50"
120,5199575,"bird bird pieeeeeeeeeeee","2020-09-15 04:25:29",0.599,34,"hiroshi335,rokiso,shinyafuiita,yoshito"
121,5221109,HIROI,"2020-09-15 17:03:19",0.599,57,hiroitakafumi
122,5351777,ymicky,"2020-09-12 22:32:44",0.598,27,ymicky
123,5302859,"Atagi Yuya","2020-09-15 20:49:28",0.598,26,atagiyuya
124,5294862,"abbcc aabb","2020-09-15 01:55:11",0.598,40,abbccaabb
125,5231132,tkm2261,"2020-08-31 23:57:01",0.598,75,tkm2261
126,5349574,shimacon,"2020-09-15 22:14:16",0.598,64,"shimacon,taguchi3333,teyosan1229"
127,5195925,Cl_ev,"2020-09-15 21:55:52",0.598,47,cl2ev1
128,5253994,Akutagawa,"2020-07-29 01:35:57",0.598,5,akutagawa
129,5125072,鳥さんが鳴いとるやんけ,"2020-09-10 14:21:51",0.598,16,yosshi999
130,5401149,BirdTeam,"2020-09-15 19:26:31",0.597,90,"ajinomoto132,mizanurr,ratan123,urvishp80"
131,5353910,"birds sing no call","2020-09-15 11:42:52",0.597,17,"doyakun,euro0217,kzhd0817"
132,5159513,"Mendrika Ramarlina","2020-09-14 14:40:01",0.597,91,ramarlina
133,5375967,"Masato Kawamoto","2020-09-12 05:42:49",0.597,60,z8mark
134,5361955,"Indra Lin","2020-09-12 02:41:10",0.597,16,indralin
135,5443514,masa_power,"2020-09-15 02:33:54",0.597,36,"asakidaisuke,pgogronoo,tokiwajp"
136,5243372,torahirod,"2020-08-05 17:38:22",0.597,7,toratoratora
137,5200145,kuroyuli,"2020-09-15 12:05:15",0.597,9,kuroyuli
138,5310777,Melius,"2020-09-15 07:38:37",0.596,24,xabonum
139,5406994,Andrij,"2020-09-15 19:09:20",0.596,54,aikhmelnytskyy
140,5215723,hsfert,"2020-09-14 15:57:30",0.596,4,hsfert
141,5148332,huiqin,"2020-07-26 10:59:56",0.596,5,qinhui1999
142,5171471,"[Deleted] 431af26d-09ef-4895-b239-bbceedd44348","2020-08-29 05:25:48",0.596,56,del=08353045a206738e
143,5347181,"Vitaly Agapitov","2020-09-03 03:52:37",0.596,7,datomi
144,5322380,"Mayukh Bhattacharyya","2020-09-12 21:12:19",0.596,10,"mayukh18,uditaghosh"
145,5406032,"Manuel Campos","2020-09-15 11:12:56",0.596,45,coreacasa
146,5122432,"SeongHun Jeong","2020-09-09 00:54:38",0.596,14,sunghun
147,5285490,ethan.cheng,"2020-07-26 06:57:24",0.596,8,chengxiaoy
148,5403804,"Jacob #2","2020-09-14 00:07:03",0.596,29,creatrol
149,5329219,BIRD,"2020-09-13 01:14:18",0.596,41,tingliao
150,5388048,"Artem Toporov","2020-09-15 22:44:03",0.595,12,artemtprv
151,5412965,"VR PIRATES","2020-09-09 12:48:45",0.595,8,vrpirates
152,5244446,Raphaël,"2020-09-02 17:52:24",0.595,26,raphaelensae
153,5191755,"Jagadish Sivakumar","2020-09-15 17:51:38",0.595,92,"ajax0564,jagadish13"
154,5403921,Sh1r0,"2020-09-15 10:21:35",0.595,10,pegasos
155,5197908,Yimin,"2020-09-15 15:43:11",0.595,34,woshifym
156,5476013,bmci,"2020-09-15 20:43:37",0.595,17,bmcinnovo
157,5438912,"Ferhat Culfaz","2020-08-26 21:57:51",0.595,2,ferhat00
158,5424178,odetoinfinity,"2020-08-26 12:22:50",0.595,7,odetoinfinity
159,5367081,yyykrk,"2020-09-15 09:20:06",0.595,38,yyykrk
160,5238576,Hummingbird,"2020-09-11 16:32:41",0.595,23,eugenet12
161,5215393,tknr,"2020-08-28 18:42:46",0.595,22,tknr310
162,5402783,Testing,"2020-09-14 06:18:04",0.595,17,gyanaluckydas
163,5453604,"Anton Loss","2020-09-15 08:46:50",0.595,10,avloss
164,5418188,tonurage,"2020-09-15 16:08:25",0.595,27,tonurage
165,5126991,"Takamichi Toda","2020-09-15 12:27:28",0.595,124,takamichitoda
166,5116587,Art,"2020-09-03 07:43:38",0.595,28,artkulak
167,5388942,nxhong,"2020-09-15 01:49:43",0.595,27,nxhong93
168,5171093,"Victor Zaguskin","2020-09-15 07:19:18",0.595,30,vzaguskin
169,5331472,Adan,"2020-09-15 19:16:44",0.595,20,adancruz
170,5442873,Chin,"2020-09-01 10:34:50",0.595,1,chinlun
171,5409590,Heisenberg,"2020-09-14 11:57:40",0.595,26,heisenberg098
172,5150480,"Vitalii Bozheniuk","2020-09-15 11:49:31",0.595,11,"aaronverjovsky,del=cab7f283ef63da22,squarenabla"
173,5202655,Aindriú,"2020-08-30 12:00:50",0.595,39,"andtem2000,sergigomezquintana"
174,5416226,"Gyanendra Das","2020-09-15 17:56:46",0.594,2,gyanendradas
175,5162863,"Anton Petrov","2020-09-12 02:30:41",0.594,21,petrov
176,5372529,ExtratErrEstrial,"2020-09-14 15:16:45",0.594,42,"ajaykumar7778,atikahamed,reighns,sasamos,yash612"
177,5404201,kumalab,"2020-09-13 15:53:28",0.594,25,kanbac5
178,5467603,"Z Jolin","2020-09-15 12:18:32",0.594,7,zjolin
179,5135325,hunterGatherers,"2020-09-15 20:21:19",0.594,9,"ramitsingal,shringi,sushantghildyal"
180,5414028,ccaabb,"2020-08-26 14:06:24",0.594,6,dregss
181,5393003,[Deleted],"2020-09-12 09:46:51",0.594,16,del=5c988cdebf0e3717
182,5151714,"Meng Di","2020-07-29 22:34:27",0.594,43,hughshaoqz
183,5370268,kimsu0414,"2020-09-13 10:27:25",0.594,8,kimsu0414
184,5120421,"Radek Osmulski","2020-08-04 07:36:24",0.594,68,radek1
185,5176723,"Urraca Wave","2020-09-15 18:48:38",0.594,25,"carlosbort,jordizm,miguelbm,talavantecodes"
186,5358205,[Deleted],"2020-08-22 00:59:40",0.594,24,del=903e2d5c50d89fec
187,5453983,yCarbon,"2020-09-14 01:27:07",0.594,7,jpn888
188,5374737,"peace hai","2020-09-15 14:37:50",0.594,49,"akshatgupta2810,sumityadav"
189,5365005,"Nikita Kozodoi","2020-09-15 14:58:56",0.594,22,kozodoi
190,5403939,aji-pandas,"2020-08-26 07:27:23",0.594,7,ajipandas
191,5213161,anonamename,"2020-08-25 15:33:24",0.594,2,anonamename
192,5200774,"Jitendra Sharma","2020-09-14 09:11:28",0.594,9,jitensharma597
193,5113646,"Adam Chang","2020-09-15 12:44:56",0.593,17,adam9500370
194,5180505,"ashish kumar","2020-08-01 11:12:57",0.593,10,ashusma
195,5459603,"Pet Shop","2020-09-15 13:34:13",0.593,17,"chenchangg,giodio,zhaomeiqin"
196,5186164,Julian,"2020-08-03 23:25:54",0.593,34,jganzabal
197,5234491,"Todd Stephenson","2020-09-15 13:09:20",0.593,13,toddstephenson
198,5114946,"Fares FOURATI","2020-08-29 19:26:00",0.593,13,ffares
199,5198507,liuze,"2020-09-15 04:59:08",0.593,11,jt120lz
200,5438146,[Deleted],"2020-09-13 10:38:04",0.593,24,del=3b4d2a22993ec64f
201,5259585,"Araik Tamazian","2020-09-15 22:11:24",0.593,26,atamazian
202,5412273,Birdbucall,"2020-09-11 14:43:05",0.593,27,"duhanwen,rxd1218"
203,5178413,NTUCSIE_JD,"2020-09-15 15:16:13",0.593,37,"davidlou,joshspchang"
204,5170842,"Aleff Nguyen","2020-09-06 08:30:55",0.593,10,aleffsatz
205,5374276,[Deleted],"2020-08-29 06:02:04",0.593,3,del=70f0f1fdf5e2c07c
206,5362259,satnam,"2020-08-30 11:06:15",0.593,3,satnam007
207,5430253,oosakik,"2020-09-15 04:12:44",0.593,3,kazuoosaki
208,5457714,HinePo,"2020-09-14 03:08:14",0.593,7,hinepo
209,5379684,"Ming Jie","2020-09-15 10:09:25",0.593,43,mwong007
210,5212898,"JIHUN LORENZO PARK","2020-09-15 01:32:32",0.593,63,jihunlorenzopark
211,5296581,khanrc,"2020-08-13 14:44:12",0.593,19,khanrc
212,5139607,Mavericks,"2020-09-15 15:43:03",0.593,31,"ddbishnoi,pawan28a95"
213,5149360,"Cyphorhinus arada","2020-09-15 12:37:27",0.592,44,"juancolonna,leonardoff,thailssonclementino"
214,5439879,paarth_98,"2020-08-27 13:55:52",0.592,1,paarth98
215,5343034,"Mohsen Yazdinejad","2020-08-30 06:49:37",0.592,4,bandits
216,5138946,isaaclaw,"2020-09-15 11:04:27",0.592,62,isaaclaw
217,5310773,HEHE,"2020-09-15 11:27:10",0.592,5,mofakoshai
218,5405575,SaifNouma,"2020-08-29 10:50:37",0.592,6,saifnouma
219,5469506,Theseus,"2020-09-15 21:51:10",0.592,31,"dmytroilin,evgengunya,vovikus"
220,5357354,Mochoppyi,"2020-09-14 06:39:08",0.592,16,ryoendo
221,5303123,Tani_1961,"2020-09-15 19:41:13",0.592,39,hirokitanio
222,5129015,NJ7,"2020-07-29 12:33:27",0.592,2,namanj27
223,5113606,🐦の🎵を聴け,"2020-07-23 23:49:52",0.592,31,ttahara
224,5300039,JulienAudibert,"2020-08-10 10:36:40",0.592,15,julienau
225,5438482,"Pavel Motloch","2020-09-15 20:59:57",0.592,8,motloch
226,5136585,Annabelle,"2020-08-11 05:53:02",0.592,81,sezaugg
227,5428345,"Berrie Z","2020-08-25 19:05:32",0.592,4,berrie
228,5420895,YYama,"2020-09-05 06:04:02",0.592,8,yosukeyama
229,5434680,gh,"2020-09-07 20:11:18",0.592,7,grzegorz
230,5116441,​,"2020-08-24 20:25:15",0.592,19,hengck23
231,5116524,Skgone,"2020-09-15 15:58:45",0.592,5,skgone123
232,5380815,ditwoo,"2020-09-14 17:35:11",0.592,30,ddmitry
233,5193111,Roe,"2020-09-15 05:37:17",0.592,37,yoshiyukiito
234,5137841,"angry bird (looking for job)","2020-07-20 09:31:49",0.592,19,haantran96
235,5258410,"[Deleted] b4d1efcb-795c-4d11-b7a4-fab4cda282f5","2020-07-16 13:40:03",0.592,3,del=f283fb9c374fb69f
236,5152644,"A Bird's call","2020-07-19 16:41:20",0.592,7,ashkhagan
237,5309394,sakana,"2020-08-30 14:05:06",0.592,4,sakana
238,5388161,"K Noda","2020-08-15 00:31:08",0.592,4,knknkn12
239,5204057,KH,"2020-08-18 04:59:57",0.592,2,khoriwaki
240,5114099,aDg4b,"2020-08-18 09:38:40",0.592,3,egrehbbt
241,5387848,"Emin ","2020-08-22 08:28:46",0.592,3,meminozturk
242,5117170,maliang,"2020-09-04 11:36:59",0.592,1,maliang07
243,5480292,"Jugal Marfatia","2020-09-14 21:13:30",0.592,5,jmarfati
244,5125040,Shadab,"2020-09-13 09:39:49",0.592,6,ianmoone0617
245,5491119,QYQ,"2020-09-15 15:37:40",0.592,16,yueqiangqin
246,5339843,"Andrey Drozdov","2020-08-22 01:14:58",0.592,4,andreydrozdov
247,5119359,RandomObserver,"2020-09-15 17:59:11",0.592,13,yeeshu11
248,5236667,UEMU,"2020-09-15 10:57:51",0.592,38,asaliquid1011
249,5449367,"Jordan Sp","2020-09-09 14:29:12",0.592,6,spemirates
250,5118521,u1234x1234,"2020-08-29 07:23:05",0.592,11,u1234x1234
251,5425385,(´・ω・｀),"2020-09-15 17:06:43",0.592,21,yyanagihashi
252,5289479,SatokiOgiso,"2020-07-31 08:54:33",0.592,5,satokiogiso
253,5415994,[Deleted],"2020-08-28 01:24:22",0.592,11,del=6186f4a4c860f575
254,5114568,"Marek Nurzynski","2020-09-15 07:01:57",0.592,48,marek3000
255,5193777,Appian,"2020-09-15 03:53:52",0.592,18,appian
256,5380446,neconeru,"2020-09-14 00:00:35",0.592,26,neconeru
257,5370252,parkms,"2020-09-14 16:15:25",0.592,18,parkms
258,5403999,b15d030,"2020-09-14 01:00:40",0.592,13,b15d030
259,5158693,"isa k [dsmlkz]","2020-09-13 03:35:40",0.592,8,isakev
260,5418718,"Nischay Dhankhar","2020-09-15 10:30:31",0.592,16,"nischaydnk,shivammittal274"
261,5209240,fund_my_gpu_plzz,"2020-09-07 02:43:21",0.591,35,"humblediscipulus,manoj9april,rishabhdhiman,souravkgoyal"
262,5122516,SoliSet,"2020-08-17 09:16:08",0.591,4,"mehrankazeminia,somayyehgholami"
263,5363696,"Pratik Karnik","2020-08-06 19:27:02",0.591,1,pratikskarnik
264,5354977,鳥の歌,"2020-08-27 18:46:15",0.591,6,dcastillo
265,5472248,"The New Mutants","2020-09-15 07:42:36",0.591,26,"jamshaidsohail5,ruchi798"
266,5304414,"Vignesh Mano","2020-09-12 16:27:11",0.591,4,vigneshmano
267,5463680,"MA Junyi","2020-09-08 02:53:29",0.591,4,majunyi
268,5166547,Oregin,"2020-09-15 11:01:59",0.591,22,oregin2kaggle
269,5486625,"Krisztián Fekete","2020-09-15 21:32:21",0.591,3,doncalculator
270,5131514,LuisBlanche,"2020-09-02 14:08:52",0.591,13,luisblanche
271,5477963,wangyuting,"2020-09-15 06:41:49",0.591,5,njwangyuting
272,5290405,NFLS2020,"2020-09-15 14:42:17",0.591,12,"irvingliang,jiaruilu,lihanc,xinranli030106,zhuoyanzheng"
273,5384297,"Manjesh Gupta","2020-08-31 09:15:49",0.591,20,manjeshg03
274,5322906,"Po-Kuan Wu","2020-09-15 02:22:41",0.591,19,frankwu5099
275,5240485,yuema,"2020-09-15 11:02:48",0.591,34,uematsuuuuuu
276,5446785,KS21,"2020-08-31 14:57:42",0.591,6,kank2130
277,5292560,AntiMage,"2020-09-09 12:46:51",0.591,45,mohaoran93
278,5152265,"Jie Deng","2020-09-14 01:17:29",0.591,57,xinyangkabuda
279,5457183,"call me call duck","2020-09-15 02:33:34",0.591,32,kehanwang1998
280,5142094,Tori,"2020-09-15 18:02:37",0.591,116,arunodhayan
281,5417790,yamash73,"2020-08-29 03:49:15",0.591,3,yamash73
282,5452120,"Alexander Kovalev","2020-09-10 12:39:10",0.591,20,velavok
283,5451952,[Deleted],"2020-09-15 20:38:34",0.591,2,del=f5f388aef7bef92e
284,5127025,"Paulo Pinto","2020-08-09 01:40:42",0.591,9,paulorzp
285,5147112,"[Deleted] #6","2020-08-11 04:09:00",0.591,2,del=7116a2c75873da7b
286,5125243,Nanashi,"2020-09-15 22:41:32",0.591,5,jesucristo
287,5117565,"Takahiro Saito","2020-09-10 11:18:54",0.591,26,takahiro3110
288,5252134,"mohit kaushik","2020-07-26 13:22:23",0.591,4,mohitkaushik12
289,5115229,"The Eagle has landed","2020-09-15 15:58:22",0.591,60,"dandelion995,hamditarek,khoongweihao,rftexas,tanulsingh077"
290,5271014,"Sourodip Ghosh","2020-07-26 17:46:15",0.591,2,souro12
291,5218447,"Santiago Mota","2020-08-20 18:11:42",0.591,9,santiagomota
292,5271669,"Aryan Khatana","2020-07-16 10:27:50",0.591,2,aryankhatana
293,5267933,yuki-t,"2020-07-16 12:00:10",0.591,1,yuki1985
294,5272136,ChibiYuki,"2020-08-11 13:17:46",0.591,2,yukinao
295,5118928,kiyo,"2020-07-16 13:08:50",0.591,3,kiyobnr34sas
296,5118678,konizo,"2020-08-29 05:58:52",0.591,12,keitarokonishi
297,5226679,takaito,"2020-07-16 14:36:35",0.591,1,takaito
298,5159017,"Nuno Ferreira","2020-08-25 13:55:59",0.591,13,ngcferreira
299,5276448,"Adam Eubanks","2020-08-21 19:54:31",0.591,3,khanradcoder
300,5277426,lalithkjain,"2020-07-17 07:38:09",0.591,1,lalith21
301,5162793,"tejas shyam","2020-07-17 09:57:10",0.591,4,tejasshyam
302,5278354,"Canqiang Xu","2020-07-17 11:46:02",0.591,1,canqiang
303,5278857,Naotsuga,"2020-07-17 14:19:55",0.591,1,naotsuga
304,5159031,"Tyutenkov Viktor","2020-07-17 17:42:08",0.591,4,samain
305,5152000,cjma,"2020-09-14 05:03:12",0.591,4,chengjiun
306,5115354,Moca,"2020-09-15 11:38:53",0.591,5,mimisan
307,5254736,Itachi,"2020-08-08 16:29:58",0.591,2,nancy392
308,5286134,"Kuldeep Patel","2020-07-19 06:58:18",0.591,1,kpatel4241
309,5146657,Beans,"2020-09-13 11:05:02",0.591,15,hsinwenchang
310,5220712,ksar,"2020-07-19 10:24:22",0.591,2,tealgreen0503
311,5184947,"Hai Nam Nguyen","2020-08-27 16:48:17",0.591,18,hainamnguyen
312,5279211,RRKC,"2020-07-20 13:44:55",0.591,2,rrkc00
313,5192069,Möbius,"2020-09-12 05:38:35",0.591,8,arashnic
314,5169061,Blackbird,"2020-07-19 21:14:38",0.591,2,zh1peng
315,5146859,"Avinash Barnwal","2020-07-20 03:18:32",0.591,1,avinashbarnwal
316,5301681,"Bohemian Waxwingers","2020-08-20 06:34:25",0.591,6,"fuzzywizard,hsankesara,shivamsaboo17"
317,5287153,core_wit,"2020-08-20 12:49:05",0.591,2,corewit
318,5114904,sogi,"2020-08-29 05:23:57",0.591,7,shinogi
319,5120002,W,"2020-09-14 14:38:33",0.591,12,magnus7
320,5181528,4ier,"2020-08-28 22:23:15",0.591,3,rohinarora
321,5198559,"Fares Sayah","2020-09-03 12:14:05",0.591,3,faressayah
322,5126456,Aim_high,"2020-07-21 16:14:25",0.591,4,"nhoues1997,sofieneressifi"
323,5118910,"Chanran Kim","2020-07-21 23:37:43",0.591,6,seriousran
324,5298951,TF-knight,"2020-08-17 01:03:24",0.591,2,shiyunlu
325,5271777,Pavel,"2020-09-15 06:22:37",0.591,33,pavellukianov
326,5280231,"Тимофей TIENTI Глухих","2020-07-30 22:45:41",0.591,2,tienti
